name,latitude,longitude,pga_median_g,pga_mean_g,pga_std_g,pga_p05_g,pga_p16_g,pga_p50_g,pga_p84_g,pga_p95_g,prob_pga_gt_0.1g,prob_pga_gt_0.2g,prob_pga_gt_0.5g
Yanpe,19.790566,95.517982,0.0897,0.1104,0.0832,0.0307,0.0463,0.0897,0.1732,0.2609,0.434,0.106,0.005
Yazagyo,23.53123,94.09707,0.0272,0.034,0.0251,0.0093,0.0139,0.0272,0.0535,0.0808,0.025,0.001,0.0
Yenam,27.727616,97.879027,0.1117,0.1356,0.0997,0.0392,0.0601,0.1117,0.2017,0.3066,0.568,0.165,0.013
Yinshe,19.962479,94.572117,0.0362,0.0454,0.0336,0.0134,0.0187,0.0362,0.0704,0.1147,0.07,0.006,0.0
Zawgyi,21.565078,96.873564,0.0601,0.0742,0.0586,0.0203,0.0305,0.0601,0.1125,0.1765,0.206,0.031,0.002
Zeedaw,21.28973,95.782275,0.2175,0.2639,0.1828,0.0703,0.1111,0.2175,0.4097,0.6161,0.862,0.556,0.094
Dam near 20.81N 95.72E,20.811847,95.720291,0.1537,0.1877,0.1324,0.0522,0.0817,0.1537,0.2814,0.4547,0.748,0.332,0.034
Dam near 21.37N 95.80E,21.37304,95.798634,0.2369,0.283,0.1898,0.075,0.1179,0.2369,0.4456,0.6351,0.886,0.592,0.119
Dam near 21.34N 95.81E,21.340483,95.810878,0.2505,0.3061,0.2288,0.0854,0.1279,0.2505,0.4692,0.7029,0.922,0.629,0.134
Dam near 23.36N 95.66E,23.361809,95.660486,0.1396,0.1745,0.1309,0.0488,0.0725,0.1396,0.272,0.4286,0.714,0.294,0.033
Dam near 23.13N 95.58E,23.132152,95.577322,0.1218,0.1545,0.1113,0.042,0.0638,0.1218,0.2481,0.3918,0.631,0.234,0.02
Dam near 20.11N 95.60E,20.114814,95.601787,0.1072,0.1312,0.096,0.0346,0.057,0.1072,0.2024,0.2952,0.541,0.163,0.008
Dam near 20.78N 95.34E,20.775632,95.342022,0.0827,0.1005,0.0757,0.0271,0.0426,0.0827,0.1514,0.2301,0.369,0.08,0.005
Dam near 19.07N 95.44E,19.06693,95.44187,0.0642,0.0771,0.0532,0.0211,0.0337,0.0642,0.1145,0.1767,0.227,0.037,0.0
Dam near 20.70N 95.47E,20.704069,95.467041,0.0957,0.1185,0.0842,0.0321,0.0496,0.0957,0.1854,0.2702,0.476,0.136,0.006
Dam near 20.47N 96.08E,20.468555,96.075001,0.2761,0.3431,0.2506,0.0953,0.1453,0.2761,0.5252,0.797,0.942,0.683,0.181
Dam near 18.53N 95.72E,18.533566,95.718861,0.0766,0.0941,0.0651,0.0282,0.0405,0.0766,0.1443,0.2238,0.336,0.071,0.0
Dam near 20.60N 95.90E,20.597321,95.89696,0.3423,0.4133,0.297,0.1105,0.1791,0.3423,0.6269,0.9626,0.968,0.792,0.271
Dam near 20.73N 95.83E,20.726713,95.826486,0.2419,0.2837,0.1871,0.0763,0.1211,0.2419,0.4429,0.6501,0.894,0.613,0.122
Dam near 20.72N 95.90E,20.721658,95.903834,0.372,0.4434,0.2951,0.1276,0.2036,0.372,0.6746,1.0037,0.977,0.851,0.315
Dam near 20.85N 96.03E,20.854343,96.02702,0.3033,0.3764,0.2551,0.1088,0.1614,0.3033,0.5905,0.8631,0.964,0.755,0.233
Dam near 21.04N 95.83E,21.038121,95.833504,0.273,0.3345,0.2527,0.0907,0.145,0.273,0.5207,0.7654,0.939,0.676,0.174
Dam near 21.05N 95.83E,21.050036,95.831831,0.2644,0.3316,0.244,0.0964,0.1466,0.2644,0.501,0.7746,0.938,0.671,0.163
Dam near 21.01N 95.73E,21.013475,95.728497,0.1713,0.2096,0.1529,0.0577,0.0873,0.1713,0.3224,0.4751,0.776,0.411,0.046
