name,status,function,river,state,latitude,longitude,height_m,capacity_mw,storage_mcm,dist_to_major_km,dist_to_fault_km,vs30,pga_g,seismic_score,fault_score,proximity_score,exposure_score,composite_risk,risk_grade,return_period_m6_yrs
Pade,Complete,Irrigation,Pade,,19.212315,95.610306,0.0,,40.6,570.3,71.0,760,0.0569,10.0,1.4,0.9,10.0,5.6,High,0.0
Myitsone,Suspended,Hydropower,Ayeyarwady,Kachin,25.715,97.535,140.0,6000.0,13190.0,388.1,91.0,760,0.0503,10.0,1.1,1.3,10.0,5.6,High,0.0
Laza,Proposed,Hydropower,Mali Hka,Kachin,26.491779,97.77695,196.0,1900.0,11780.0,451.8,80.3,760,0.0535,10.0,1.2,1.1,10.0,5.6,High,0.0
Sedawgyi (upper),Proposed,Multi-purpose,Ma Gyi Chaung,Shan,22.74764,96.20626,73.0,64.0,593.0,348.5,32.6,760,0.0835,10.0,3.1,1.4,5.2,5.5,High,0.0
Phaunggada,Complete,Irrigation,,,22.021024,95.070568,0.0,,9.165,472.4,94.1,760,0.0495,9.9,1.1,1.1,10.0,5.5,High,0.0
Wegyi,Complete,Irrigation,Wegyi,,18.622783,95.609994,0.0,,310.97,617.7,81.6,760,0.0531,10.0,1.2,0.8,10.0,5.5,High,0.0
Thauk Ye Khat 2,Complete,Hydropower,Thauk Ye Khat,Kayin,18.914102,96.619907,94.0,120.0,444.0,527.9,34.3,760,0.0814,10.0,2.9,0.9,6.6,5.5,High,0.0
Paung Laung (middle),Proposed,Hydropower,Paung Laung Chaung,Mandalay,19.86,96.508,110.0,100.0,429.0,454.5,45.5,760,0.0709,10.0,2.2,1.1,7.4,5.5,High,0.0
Paung Laung (upper),Complete,Hydropower,Paung Laung Chaung,Mandalay,19.756,96.598,98.0,140.0,1286.0,456.5,51.3,760,0.0668,10.0,1.9,1.1,7.7,5.5,High,0.0
Ngathayauk,Complete,Irrigation,Chaung Ma Gyi,,21.168644,95.107695,0.0,,8.61,494.7,91.7,760,0.0501,10.0,1.1,1.0,10.0,5.5,High,0.0
Dam near 19.07N 95.44E,Complete,Irrigation,,,19.06693,95.44187,0.0,,0.0,593.9,92.0,760,0.05,10.0,1.1,0.8,10.0,5.5,High,0.0
Sarlingyi,Complete,Irrigation,Sarlingyi,,21.981113,95.066611,0.0,,5.699,473.6,94.5,760,0.0494,9.9,1.1,1.1,10.0,5.5,High,0.0
Belin,Proposed,Hydropower,Bilin River,Mon,17.519723,97.243546,131.0,280.0,9711.0,633.1,86.8,760,0.0515,10.0,1.2,0.8,10.0,5.5,High,0.0
South Nawin (2),Complete,Irrigation,South Nawin,,18.959728,95.492622,0.0,,25.91,598.6,88.4,760,0.051,10.0,1.1,0.8,10.0,5.5,High,0.0
Taungnawin,Complete,Irrigation,Taungnawin Creek,,18.922544,95.578598,0.0,,354.009,595.4,79.6,760,0.0538,10.0,1.3,0.8,10.0,5.5,High,0.0
Nagar,Complete,Irrigation,Nagar,,20.395229,95.16702,0.0,,7.762,526.7,90.5,760,0.0504,10.0,1.1,0.9,10.0,5.5,High,0.0
Ledaingzin,Complete,Irrigation,Paung Kwe,,20.445332,95.15673,0.0,,5.86,524.8,91.2,760,0.0503,10.0,1.1,1.0,10.0,5.5,High,0.0
Yeywa (middle),Proposed,Hydropower,Lower Myitnge,Shan,21.96024,96.87313,160.0,700.0,454.0,294.9,106.0,760,0.0466,9.3,0.9,1.7,10.0,5.4,High,0.0
U Yu Chaung,Identified Sites,,Uyu,Sagaing,24.865948,95.294431,0.0,,0.0,498.3,99.7,760,0.0481,9.6,1.0,1.0,10.0,5.4,High,0.0
Zawgyi,Complete,Hydropower,Zawgyi,,21.565078,96.873564,0.0,,639.0,311.3,105.6,760,0.0467,9.3,0.9,1.6,10.0,5.4,High,0.0
Ngwe Thar,Complete,Irrigation,,,21.902657,95.041531,0.0,,18.811,477.9,97.3,760,0.0487,9.7,1.0,1.0,10.0,5.4,High,0.0
Zaungtu,Complete,Hydropower,Bago River,Bago,17.755818,96.19898,45.0,20.0,407.0,658.8,26.6,760,0.092,10.0,3.8,0.8,3.2,5.3,High,0.0
Kinda,Complete,Multi-purpose,Panlaung Chaung,Shan,21.160437,96.321037,72.0,56.0,1078.0,382.1,42.9,760,0.073,10.0,2.3,1.3,5.6,5.3,High,0.0
Middle Yeywa,Planned,Hydropower,Myitnge,,21.938771,96.930558,0.0,,0.0,290.1,112.4,760,0.0453,9.1,0.9,1.7,10.0,5.3,High,0.0
Shwezaye,Cancelled,Hydropower,Chindwin,,22.33525,94.9989,0.0,,0.0,474.7,102.0,760,0.0475,9.5,1.0,1.1,10.0,5.3,High,0.0
Ngwedaung,Complete,Irrigation,Ngwetaung,,19.555742,97.163331,0.0,,826.852,437.7,105.3,760,0.0468,9.4,0.9,1.1,10.0,5.3,High,0.0
Mobyè,Complete,Irrigation,Balu Chaung,,19.792636,97.097256,0.0,,826.852,420.5,105.2,760,0.0468,9.4,1.0,1.2,10.0,5.3,High,0.0
Myogyi,Complete,Multi-purpose,Zawgyi River,Shan,21.46349,96.39144,79.0,30.0,443.0,360.8,51.7,760,0.0666,10.0,1.9,1.4,5.3,5.2,High,0.0
Kanggyigone,Complete,Irrigation,In Yone,,19.043285,95.308665,0.0,,7.53,605.6,107.0,760,0.0464,9.3,0.9,0.8,10.0,5.2,High,0.0
Yunzalin,Identified Sites,,,Kayin,18.29496,97.34081,0.0,,0.0,550.3,105.3,760,0.0468,9.4,0.9,0.9,10.0,5.2,High,0.0
Bawgata,Proposed,Hydropower,Bawgata,Bago,18.255561,96.848496,80.0,160.0,835.0,577.2,50.5,760,0.0673,10.0,2.0,0.9,6.3,5.2,High,0.0
Thirinandar,Complete,Irrigation,,,21.51692,94.932945,0.0,,2.11,499.1,109.9,760,0.0458,9.2,0.9,1.0,10.0,5.2,High,0.0
Nancho,Complete,Hydropower,Sin The Chaung,Naypyitaw,19.7412,96.450483,72.0,40.0,9.0,468.0,35.3,760,0.0803,10.0,2.8,1.1,4.5,5.2,High,0.0
Weigyi,Planned,Hydropower,Salween,,18.632617,97.359484,0.0,,0.0,515.7,111.5,760,0.0455,9.1,0.9,1.0,10.0,5.1,High,0.0
Shwegyin,Complete,Hydropower,Shwegyin River,Bago,17.970227,96.935001,57.0,75.0,2080.0,600.9,56.8,760,0.0636,10.0,1.8,0.8,5.8,5.1,High,0.0
Tamanthi,Proposed,Hydropower,Chindwin,Sagaing,25.322227,95.296955,74.0,1200.0,20922.0,523.4,113.8,760,0.045,9.0,0.9,1.0,10.0,5.1,High,0.0
Upper Haw Kham,Proposed,Hydropower,Nam Pawn,,19.177977,97.344749,0.0,,0.0,463.1,118.4,760,0.0441,8.8,0.8,1.1,10.0,5.1,High,0.0
Thapanzeik,Complete,Multi-purpose,Mu River,Sagaing,23.305918,95.35833,33.0,30.0,3552.0,439.0,63.5,760,0.0601,10.0,1.6,1.1,5.7,5.0,High,0.0
Upper Yeywa,Under Construction,Hydropower,Myitnge,,22.240208,97.162877,0.0,,0.0,257.8,138.2,760,0.0409,8.2,0.7,1.9,10.0,5.0,Moderate,0.0
Baluchaung Dam,Complete,Hydropower,Baluchaung,,19.572117,97.31465,0.0,,0.0,427.5,122.2,760,0.0435,8.7,0.8,1.2,10.0,5.0,High,0.0
Dam near 18.65N 95.25E,Complete,Irrigation,,,18.651777,95.252143,0.0,,0.0,640.2,120.3,760,0.0438,8.8,0.8,0.8,10.0,5.0,Moderate,0.0
Phizaw,Planned,Hydropower,May Hka,,26.827594,98.385556,0.0,,0.0,465.5,124.1,760,0.0431,8.6,0.8,1.1,10.0,5.0,Moderate,0.0
Myaing Chaung,Complete,Irrigation,Myaing Chaung,,21.615887,94.816231,0.0,,4.936,507.7,122.5,760,0.0434,8.7,0.8,1.0,10.0,5.0,Moderate,0.0
Shwedaung,Complete,Irrigation,Kalar Chaung,,18.710748,95.252426,0.0,,6.61,635.5,119.2,760,0.044,8.8,0.8,0.8,10.0,5.0,Moderate,0.0
Khaunglanphu,Proposed,Hydropower,N'Mai  Hka,Kachin,26.849507,98.376808,223.0,2700.0,3100.0,468.1,122.3,760,0.0434,8.7,0.8,1.1,10.0,5.0,Moderate,0.0
Pashe,Planned,Hydropower,N'Mai,,26.476081,98.289919,0.0,,0.0,431.0,131.9,760,0.0418,8.4,0.8,1.2,10.0,4.9,Moderate,0.0
