time_utc,time_mmt,latitude,longitude,depth,mag,location,country
2023-06-07 09:53:50,2023-06-07 16:23:50,16.8731,95.5532,10.0,4.8,"Maubin, Myanmar",MM
2023-06-06 01:58:56,2023-06-06 08:28:56,21.196,100.029,1.0,3.3,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-05 19:58:14,2023-06-06 02:28:14,24.21,94.34,10.0,2.4,,MM
2023-06-05 17:59:22,2023-06-06 00:29:22,25.48,95.91,10.0,2.9,"Yebawmi, Sagaing Region, Myanmar (Burma)",MM
2023-06-03 18:49:03,2023-06-04 01:19:03,25.13,96.2,10.0,3.1,"Sanlaik, Kachin, Myanmar (Burma)",MM
2023-06-03 11:37:02,2023-06-03 18:07:02,25.28,95.62,10.0,3.7,"Yebawmi, Sagaing Region, Myanmar (Burma)",MM
2023-06-03 11:03:16,2023-06-03 17:33:16,19.828,97.553,1.0,2.6,"Daw Hsawgio, Kayah State, Myanmar (Burma)",MM
2023-06-03 06:17:39,2023-06-03 12:47:39,21.1,99.96,1.0,3.1,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
2023-06-02 15:41:46,2023-06-02 22:11:46,21.215,100.034,2.0,2.4,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-01 18:38:07,2023-06-02 01:08:07,25.2721,95.7032,5.0,3.2,"Yebawmi, Sagaing Region, Myanmar (Burma)",MM
2023-06-01 04:04:46,2023-06-01 10:34:46,25.16,95.97,90.0,3.5,"Mansein, Sagaing Region, Myanmar (Burma)",MM
2023-06-01 01:10:29,2023-06-01 07:40:29,21.85,94.54,10.0,3.2,"Kaungbwa, Sagaing Region, Myanmar (Burma)",MM
