name,name_en,place,lat,lon
Nazira,Nazira,town,26.9165,94.736
Naryanpur,,village,26.952,93.8561
Bhutiachang,,village,26.9423,92.603
Chanu,,village,26.9533,95.3379
Sivasagar,,city,26.9835,94.6394
Bhalukpong,Bhalukpong,town,27.0137,92.6358
Khonsa,,town,26.991,95.5061
Nargargaon,,village,27.0116,94.1653
Dimow,,town,27.1273,94.7405
Itanagar,Itanagar,city,27.098,93.6237
Dilli,,village,27.1093,95.4178
Borhat,,village,27.1632,95.2769
Deomali,,town,27.1959,95.4642
North Lakhimpur,North Lakhimpur,town,27.2362,94.1039
Naharkatia,,town,27.2863,95.3258
Dejoo,Dejoo,village,27.2728,94.0241
Kimin,Kimin,town,27.3057,93.9656
Jairampur,Jairampur,town,27.3569,96.0134
Yengil,Yengil,village,27.389,93.0211
Ziro,,city,27.5387,93.8154
Dijmur,,village,27.6228,94.8939
Pemir,Pemir,village,27.7178,93.9275
Dhola,Dhola,village,27.7541,95.5968
Lathao,Lathao,village,27.7442,95.9102
Kundil Bazar,Kundil Bazar,village,27.839,95.6992
Parasuram Kund,Parasuram Kund,village,27.8787,96.3578
Pareng,Pareng,village,28.1347,94.8042
Dong,Dong,village,28.1679,97.0389
สันทรายหลวง,San Sai Luang,town,18.8517,99.0444
บ้านบ่อสร้าง,Ban Bosang,village,18.7675,99.0836
สุโขทัย,Sukhothai,town,17.0109,99.8204
ตาก,Tak,town,16.8723,99.1248
เชียงราย,Chiang Rai,city,19.9069,99.8333
တာချီလိတ်,Tachileik,city,20.4491,99.8842
บ้านขุนช่างเคี่ยน,Ban Khun Chang Khian,village,18.8408,98.9023
แม่ริม,Mae Rim,town,18.9145,98.9453
หัวหิน,Hua Hin,city,12.5699,99.9573
สวรรคโลก,Sawankhalok,town,17.3157,99.832
ညောင်ဦး,Nyaung-U,city,21.2,94.9072
ดอยสะเก็ด,Doi Saket,town,18.8732,99.1366
แม่ตืน,Mae Tuen,town,18.0049,98.8795
ฮอด,Hot,town,18.1935,98.6117
บ้านแม่หอพระ,Ban Mae Ho Phra,village,19.1173,99.0082
พร้าว,Phrao,town,19.369,99.2056
บ้านป่าสักงาม,Ban Pa Sak Ngam,village,18.9858,99.1247
Kakching,,town,24.4975,93.9836
บ้านบ่อแก้ว,Ban Bo Kaeo,village,18.8286,98.5708
หางดง,Hang Dong,town,18.6857,98.9192
ปาย,Pai,town,19.3581,98.4406
Yegyawgyi,,village,15.8656,95.1984
ဓနိချောင်း,Da Ni Chaung,village,15.8506,95.2059
တိုက်ကြီး,Taik Kyi,town,17.3146,95.9588
Labutta,Labutta,town,16.1448,94.7586
ဇီးဖြူဆိပ်,Zee Hpyu Seik,village,16.0693,94.6107
ရွေး,Yway,village,15.931,94.6081
ကုန်းကြီး,Kone Gyi,village,15.9498,94.5965
Alebauk,,village,15.9665,94.5578
Chaungzu,,village,15.9325,94.8065
Kwetkwagale,,village,15.9228,94.7595
မြောင်းမြ,Myaung Mya,town,16.6038,94.929
ကျုံမငေးမြို့,Kyonmange,town,16.436,95.1319
Gwegon,,village,16.6449,94.7352
Taunggale,,village,16.4007,94.6528
ကန်ဘက်,Kan Bet,village,16.2234,94.9363
老窝镇,Laowo,town,25.8604,99.0221
大兴地,Daxingdi,village,26.0218,98.8494
称杆乡,Chenggan,town,26.2555,98.8721
古浪村,Gulang,village,26.076,98.6016
松塔,Songta,village,28.2314,98.4916
秋那桶,Qiunatong,village,28.0773,98.5792
察瓦龙乡,Chawarong,town,28.4791,98.4638
雾里,Wuli,village,28.0599,98.6018
,Wuqu,village,27.8932,98.6727
比毕里,Bibili,village,27.9434,98.6532
,Shuangla,village,27.975,98.6587
,Jimoduo,village,27.9045,98.6595
龙坡,Longpo,village,27.8807,98.6744
温泉村,Wenquan,village,27.826,100.6957
三家,Sanjia,village,27.6647,100.7838
河门口,Hemenkou,village,26.3416,101.1562
湾碧傣族傈僳族乡,Wanbi,town,26.3578,101.2021
六德乡,Liude,town,26.5557,100.8459
仁和镇,Renhe,town,26.4687,101.019
ပျော်ဘွယ်ကြီး,Pyawbwe Gyi,village,16.6774,96.144
ဒလ,Dala,town,16.7575,96.1525
ကြာဖြူကန်,Kyar Hpyu Kan,village,16.7149,96.1077
ထော် (အောက်),Htaw (Lower),village,16.7191,96.1203
Ngantaya,,village,16.7218,96.1315
ပန်းတနော်မြို့,Pantanaw,town,16.9831,95.4666
မြင်းကဆိပ်,Myin Ka Seik,village,16.7139,94.8839
ညောင်ပင်,Nyaung Pin,village,16.9204,96.3306
พัทยา,Pattaya,city,12.9367,100.8865
บ้านกลาง,Ban Klang,village,16.9684,100.5796
บ้านเหมืองง่า,Ban Mueang Nga,village,18.6077,99.0246
隆子县 ལྷུན་རྩེ།,Lhuntse,city,28.412,92.4623
ท่าหลวง,Tha Luang,town,15.0704,101.1099
โคกสำโรง,Khok Samrong,town,15.0655,100.7196
หนองม่วง,Nong Muang,town,15.2254,100.6602
Sri Vijaya Puram,Port Blair,city,11.6645,92.739
Malappuram,,village,11.7884,92.7111
ລອງ,Muang Long,town,20.9633,100.8209
ຊຽງກົກ,Xiengkok,village,20.9009,100.6441
ເມືອງສິງ,Muang Sing,town,21.1889,101.1486
,Namyang,village,20.9879,101.2857
เชียงของ,Chiang Khong,town,20.2608,100.4069
ຫ້ວຍຊາຍ,Houayxay,city,20.2793,100.4122
Dibrugarh,Dibrugarh,city,27.4845,94.9019
Chabua,Chabua,town,27.4827,95.173
Lengeri Gaon,,village,27.276,95.0276
ระนอง,Ranong,town,9.9641,98.634
ကော့သောင်း,Kawthaung,city,9.9833,98.5512
แม่สอด,Mae Sot,city,16.715,98.5696
สังขละบุรี,Sangkhla Buri,town,15.1549,98.4519
ทองผาภูมิ,Thong Pha Phum,town,14.743,98.6319
กาญจนบุรี,Kanchanaburi,town,14.0227,99.5323
ศรีสวัสด์ิ,Si Sawat,village,14.5968,99.1204
ชุมแสง,Chum Saeng,town,15.8951,100.3095
ท่าวุ้ง,Tha Wung,town,14.8151,100.513
บ้านรักไทย,Ban Rak Thai,village,19.5861,97.9458
บ้านนาป่าแปก,Ban Na Pa Paek,village,19.5327,97.9278
แม่ฮ่องสอน,Mae Hong Son,town,19.3015,97.9666
ขุนยวม,Khun Yuam,town,18.8294,97.9346
แม่สะเรียง,Mae Sariang,town,18.1596,97.9301
แม่สามแลบ,Mae Sam Laep,village,17.9786,97.7401
แม่ต้าน,Mae Tan,town,17.2267,98.2288
เพชรบุรี,Phetchaburi,town,13.1053,99.9475
ปทุมธานี,Pathum Thani,town,14.0204,100.534
สมุทรปราการ,Samut Prakan,city,13.5949,100.5967
爱华镇,Aihua,town,24.4404,100.1369
ลำพูน,Lamphun,city,18.5776,99.0069
နေပြည်တော်,Nay Pyi Taw,city,19.7753,96.1033
升平镇,Shengping,town,28.4877,98.9134
奔子栏镇,Benzilan,town,28.2435,99.302
Nairi,,village,27.8896,99.662
邓川镇,Dengchuan,town,25.9918,100.0874
三营镇,Sanying,town,26.226,99.9968
牛街乡,Niujie,town,26.2565,99.9883
石鼓镇,Shigu,town,26.8676,99.9543
龙蟠乡,Longpan,town,27.0956,100.0698
西当村,Xidang,village,28.4402,98.8287
Bomdila,,city,27.2644,92.4207
Senge,Senge,town,27.4562,92.1121
Oraog,,village,26.6988,92.3306
Dirang,Dirang,town,27.3601,92.2412
Rama Camp,Rama Camp,village,27.3917,92.2028
Yukmadung,Yukmadung,village,27.4213,92.1245
Rowta,,village,26.7125,92.2065
Bhairab Kund,,village,26.8836,92.1126
Thingbu,Thingbu,town,27.6615,92.0988
Kaying,Kaying,town,28.4134,94.6788
