latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
17.7530000,96.1220000,10.0000,4.40,mb,13,323.4,,0.84,us,usp000dxvc,2014-11-07T01:26:51.598Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-22 23:05:19,2005-08-23 05:35:19
21.7930000,93.8110000,65.0000,4.50,mb,65,75.2,,0.76,us,usp000dxn4,2014-11-07T01:26:50.209Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-19 07:13:24,2005-08-19 13:43:24
21.1140000,99.7380000,20.0000,4.30,mb,17,159.4,,1.15,us,usp000dxj5,2014-11-07T01:26:49.962Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-17 18:37:07,2005-08-18 01:07:07
22.7790000,93.8090000,47.4000,4.30,mb,33,77.8,,0.93,us,usp000dxh1,2014-11-07T01:26:49.829Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-08-17 06:25:18,2005-08-17 12:55:18
19.9520000,96.4320000,100.0000,4.10,mb,5,204.9,,0.57,us,usp000dwqz,2014-11-07T01:26:44.546Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-05 10:46:26,2005-08-05 17:16:26
20.0210000,95.7510000,100.0000,4.30,mb,10,177.5,,0.85,us,usp000dwqv,2014-11-07T01:26:44.530Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-05 09:47:35,2005-08-05 16:17:35
26.2370000,97.0310000,48.4000,0.00,,6,166.9,,0.65,us,usp000dwep,2014-11-07T01:26:41.053Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-01 06:21:40,2005-08-01 12:51:40
24.5610000,94.7810000,84.0000,5.70,mwb,490,16.9,,0.78,us,usp000dznh,2015-02-12T23:37:11.949Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-09-18 07:25:59,2005-09-18 13:55:59
24.5600000,94.7800000,84.0000,5.70,mwc,,,,,gc,gcmt200509,2015-02-11T17:18:07.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-09-18 07:25:59,2005-09-18 13:55:59
24.3070000,94.3240000,61.8000,0.00,,6,193,,0.52,us,usp000dyrf,2014-11-07T01:27:00.285Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-09-04 11:42:05,2005-09-04 18:12:05
23.7640000,94.2400000,59.8000,3.80,mb,19,100.9,,0.76,us,usp000dykw,2014-11-07T01:26:59.210Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-09-02 15:36:31,2005-09-02 22:06:31
24.5920000,94.8590000,35.0000,0.00,,8,154.3,,1.12,us,usp000dyg1,2014-11-07T01:26:57.628Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-09-01 07:26:33,2005-09-01 13:56:33
22.8080000,94.2710000,89.2000,0.00,,12,158.9,,0.59,us,usp000e33m,2014-11-07T01:27:30.312Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-29 17:29:55,2005-10-29 23:59:55
24.7960000,95.3250000,138.9000,3.80,mb,11,178.5,,0.56,us,usp000e30v,2014-11-07T01:27:29.866Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-28 15:33:33,2005-10-28 22:03:33
25.5680000,96.0500000,102.8000,5.00,mb,20,117,,1.14,us,usp000e2hs,2014-11-07T01:27:27.770Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-22 13:45:20,2005-10-22 20:15:20
18.9130000,95.7610000,10.0000,4.70,mb,55,96.3,,1.21,us,usp000e2c5,2014-11-07T01:27:27.239Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-20 23:37:56,2005-10-21 06:07:56
24.2390000,95.3460000,148.0000,3.90,mb,12,241.1,,0.88,us,usp000e1sf,2014-11-07T01:27:23.284Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-14 00:13:19,2005-10-14 06:43:19
25.8780000,95.5570000,97.4000,3.60,mb,10,164.8,,0.62,us,usp000e1ej,2014-11-07T01:27:20.676Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-09 19:14:17,2005-10-10 01:44:17
25.3740000,95.6920000,82.7000,4.00,mb,10,142.3,,1.07,us,usp000e1ee,2014-11-07T01:27:20.667Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-09 18:41:00,2005-10-10 01:11:00
16.0050000,95.7600000,110.9000,4.30,mb,17,145.3,,1.06,us,usp000e124,2014-11-07T01:27:18.323Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2005-10-07 22:07:39,2005-10-08 04:37:39
24.6250000,98.4010000,20.0000,3.90,mb,18,142.4,,1.37,us,usp000e0xv,2014-11-07T01:27:17.574Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2005-10-05 21:47:18,2005-10-06 04:17:18
21.9810000,94.2410000,64.5000,3.90,mb,18,140.7,,0.96,us,usp000e4sw,2014-11-07T01:27:42.864Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-11-24 00:06:58,2005-11-24 06:36:58
25.4300000,94.2890000,10.0000,4.50,ml,7,266,,0.72,us,usp000e4qf,2014-11-07T01:27:42.382Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-11-22 15:28:31,2005-11-22 21:58:31
26.4660000,96.3790000,90.7000,4.80,mb,141,34.6,,0.91,us,usp000e4f1,2014-11-07T01:27:40.601Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-11-18 18:56:55,2005-11-19 01:26:55
24.7850000,98.6980000,1.1000,4.50,mb,36,110.3,,0.91,us,usp000e3x3,2014-11-07T01:27:37.880Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2005-11-10 22:09:34,2005-11-11 04:39:34
25.0100000,96.1970000,12.0000,5.10,mwc,132,49.8,,0.82,us,usp000e751,2015-02-11T17:18:11.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-12-29 07:20:55,2005-12-29 13:50:55
17.6000000,95.9710000,10.0000,4.40,mb,17,143.9,,1.01,us,usp000e6n6,2014-11-07T01:27:55.815Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-12-22 21:30:34,2005-12-23 04:00:34
20.8580000,94.5370000,75.0000,3.90,mb,26,117.8,,0.92,us,usp000e69j,2014-11-07T01:27:54.455Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-12-16 20:31:31,2005-12-17 03:01:31
