latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
23.077,94.971,164.6,4.7,mb,120.0,49.8,,0.85,us,usp000j14t,2014-11-07T01:44:46.529Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-05-07 01:47:15,2011-05-07 08:17:15,Saigang,Shwebo,Taze,Waing Kyo,village,0.4,,
26.073,96.621,25.7,4.2,mb,27.0,120.2,,1.07,us,usp000j1n8,2014-11-07T01:44:51.444Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-05-15 15:32:46,2011-05-15 22:02:46,Kachin,Myitkyina,Tanai,Ting Kauk,village,10.5,,
24.221,94.509,81.5,4.0,mb,13.0,159.0,,0.61,us,usp000j2ez,2014-11-07T01:44:56.407Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-05-30 19:17:34,2011-05-31 01:47:34,Saigang,Tamu,Tamu,Thar Si,village,10.5,,
25.062,98.79,34.5,4.7,mb,47.0,122.6,,0.94,us,usp000j2gd,2014-11-07T01:44:56.602Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-05-31 13:13:42,2011-05-31 19:43:42,,,,山脚,village,3.9,,
24.542,94.552,54.2,4.3,mb,56.0,115.3,,0.77,us,usp000j2gn,2014-11-07T01:44:56.647Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-05-31 18:45:12,2011-06-01 01:15:12,Saigang,Tamu,Tamu,Ban Du La,village,3.8,,
25.429,96.743,41.5,4.2,mb,22.0,120.8,,0.91,us,usp000j2hn,2014-11-07T01:44:59.101Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-06-01 08:38:05,2011-06-01 15:08:05,Kachin,Mohnyin,Mogaung,Say Ton,village,2.1,,
25.075,98.721,39.0,5.0,mwc,203.0,34.2,,0.85,us,usp000j3fe,2014-11-07T01:45:07.472Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-06-20 10:16:55,2011-06-20 16:46:55,,,,蒲箐,village,7.9,,
23.734,94.259,81.4,4.7,mb,54.0,73.6,,0.76,us,usp000j3s0,2014-11-07T01:45:10.533Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-06-25 23:40:40,2011-06-26 06:10:40,Saigang,Mawlaik,Mawlaik,Nan Ka Teik,village,10.2,,
23.809,96.391,66.3,4.3,mb,11.0,167.1,,1.16,us,usp000j3s6,2014-11-07T01:45:10.557Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-06-26 02:27:08,2011-06-26 08:57:08,Saigang,Katha,Tigyaing,Nan Paung,village,10.5,,
21.088,93.901,70.9,4.9,mb,109.0,60.4,,0.6,us,usp000j4gk,2014-11-07T01:45:19.521Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-07-10 00:40:26,2011-07-10 07:10:26,Chin,Mindat,Kanpetlet,Khan Nan,village,5.2,,
21.048,93.945,76.0,4.4,mb,35.0,99.0,,0.77,us,usp000j4k4,2014-11-07T01:45:20.174Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-07-10 23:15:58,2011-07-11 05:45:58,Chin,Mindat,Kanpetlet,Khoke,village,2.0,,
27.123,97.061,35.0,4.4,mb,16.0,85.9,,0.79,us,usp000j4xa,2014-11-07T01:45:21.988Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-07-14 22:48:10,2011-07-15 05:18:10,,,,Vijaynagar,village,9.7,,
24.805,95.156,114.6,4.2,mb,14.0,152.0,,0.61,us,usp000j60v,2014-11-07T01:45:34.070Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-08-05 16:23:44,2011-08-05 22:53:44,Saigang,Hkamti,Homalin,Ton Khan,village,4.4,,
22.36,93.704,43.1,4.3,mb,11.0,140.5,,0.85,us,usp000j63u,2014-11-07T01:45:34.491Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-08-07 00:02:50,2011-08-07 06:32:50,Chin,Hakha,Hakha,Sumsen,village,3.3,,
22.753,94.116,39.2,4.4,mb,18.0,107.8,,0.71,us,usp000j66f,2014-11-07T01:45:34.888Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-08-08 18:54:41,2011-08-09 01:24:41,Magway,Gangaw,Gangaw,Yae Shin,village,1.5,,
24.932,98.73,40.1,5.1,mwc,101.0,41.3,,1.17,us,usp000j67a,2014-11-07T01:45:35.014Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-08-09 11:50:22,2011-08-09 18:20:22,,,,尖坡,village,4.0,,
21.807,94.369,87.6,4.4,mb,27.0,145.4,,1.01,us,usp000j67v,2014-11-07T01:45:35.095Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-08-09 17:43:31,2011-08-10 00:13:31,Magway,Pakokku,Pauk,Htan Taw,village,4.8,,
15.036,94.314,35.0,4.2,mb,21.0,100.2,,0.83,us,usp000j6ty,2014-11-07T01:45:40.592Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2011-08-21 17:43:38,2011-08-22 00:13:38,,,,Pyi Thar Yar,village,91.0,,
26.521,96.748,121.7,4.5,mb,54.0,74.1,,0.62,us,usp000j75n,2014-11-07T01:45:44.242Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-08-28 04:40:45,2011-08-28 11:10:45,Kachin,Myitkyina,Tanai,Pa Net,village,9.9,,
24.639,98.019,43.6,4.4,mb,27.0,113.6,,1.02,us,usp000j799,2014-11-07T01:45:44.900Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-08-30 16:23:56,2011-08-30 22:53:56,,,,岗勐,village,6.9,,
25.002,95.178,116.8,4.5,mb,24.0,71.6,,0.75,us,usp000j89h,2014-11-07T01:45:55.330Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-09-19 08:04:13,2011-09-19 14:34:13,Saigang,Hkamti,Homalin,Chaung Son,village,12.0,,
23.647,95.067,139.3,4.7,mb,39.0,53.3,,0.9,us,usp000j8db,2014-11-07T01:45:56.422Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-09-22 14:17:34,2011-09-22 20:47:34,Saigang,Kanbalu,Kyunhla,Nan That,village,4.1,,
24.258,98.241,40.6,4.2,mb,13.0,138.7,,0.68,us,usp000j8ft,2014-11-07T01:45:56.815Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-09-23 21:38:38,2011-09-24 04:08:38,,,,户弄,village,0.8,,
23.173,93.732,66.6,4.2,mb,27.0,65.8,,0.54,us,usp000j9db,2014-11-07T01:46:07.020Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-10-16 00:53:46,2011-10-16 07:23:46,Chin,Falam,Tedim,Duhmang,village,0.9,,
24.884,94.211,65.9,4.5,mb,47.0,70.1,,0.94,us,usp000j9nb,2014-11-07T01:46:08.551Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-10-21 14:40:36,2011-10-21 21:10:36,,,,,village,4.5,,
24.923,95.588,160.3,4.7,mb,32.0,41.6,,0.8,us,usp000jaaq,2014-11-07T01:46:17.592Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-11-04 10:14:43,2011-11-04 16:44:43,Saigang,Hkamti,Homalin,Ton Sa Kar,village,5.0,,
24.96,95.232,107.0,5.7,mww,370.0,14.5,,0.99,us,usp000jb6k,2015-02-12T23:02:08.747Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-11-21 03:15:41,2011-11-21 09:45:41,Saigang,Hkamti,Homalin,Nan Khan Si,village,9.6,,
25.2,97.602,35.3,5.2,mwc,112.0,43.4,,0.9,us,usp000jbjb,2014-11-07T01:46:25.552Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-11-28 15:06:52,2011-11-28 21:36:52,Kachin,Myitkyina,Waingmaw,San Pai,village,1.8,,
21.388,94.345,81.6,4.8,mb,60.0,61.3,,0.66,us,usp000jbkk,2014-11-07T01:46:25.808Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-11-29 13:37:19,2011-11-29 20:07:19,Magway,Pakokku,Pauk,Myay Ni (Myauk Su),village,1.6,,
25.182,97.699,10.0,4.3,mb,22.0,132.1,,0.97,us,usp000jbku,2014-11-07T01:46:25.831Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-11-29 15:15:58,2011-11-29 21:45:58,Kachin,Myitkyina,Waingmaw,Ding Kar,village,3.5,,
15.946,95.18,10.0,4.1,mb,13.0,105.0,,0.77,us,usp000jc12,2014-11-07T01:46:32.695Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2011-12-10 11:44:18,2011-12-10 18:14:18,Ayeyarwady,Pyapon,Bogale,Tha Pyay (Ta Say),village,3.4,,
24.886,95.26,122.4,4.6,mb,31.0,84.8,,0.92,us,usp000jc3n,2014-11-07T01:46:33.197Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-12-12 04:45:44,2011-12-12 11:15:44,Saigang,Hkamti,Homalin,Tin Kyit,village,4.4,,
22.546,98.568,10.0,4.0,mb,20.0,137.6,,0.9,us,usp000jckc,2014-11-07T01:46:37.113Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-12-24 15:14:16,2011-12-24 21:44:16,Shan,Lashio,Tangyan,Man Yawng Long,village,2.0,,
23.355,94.255,73.8,4.7,mb,31.0,143.6,,0.57,us,usp000jcnm,2014-11-07T01:46:37.657Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-12-26 10:40:30,2011-12-26 17:10:30,Saigang,Kale,Kalewa,Naung Put (Naung Mut),village,7.1,,
