latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
26.803,96.735,61.7,4.2,mb,13,160.7,,0.84,us,usp000etj0,2014-11-07T01:30:15.690Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-09-21 22:43:22,2006-09-22 05:13:22,Kachin,Myitkyina,Tanai,Shin Long Gar,village,33.3
24.635,94.597,96.1,4.2,mb,70,111.4,,0.76,us,usp000esu2,2014-11-07T01:30:11.501Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-09-10 06:12:18,2006-09-10 12:42:18,Saigang,Tamu,Tamu,Man Taw,village,3.6
21.486,94.483,87.1,4.1,mb,24,104.4,,0.49,us,usp000eses,2014-11-07T01:30:09.648Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-09-04 05:11:55,2006-09-04 11:41:55,Magway,Pakokku,Pauk,Kyauk Tan,village,0.9
18.162,94.658,63.7,0.0,,15,109.4,,0.48,us,usp000ew1s,2014-11-07T01:30:37.953Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-10-26 02:11:20,2006-10-26 08:41:20,Rakhine,Thandwe,Thandwe,Chin Chaung,village,12.5
24.728,97.077,35.0,4.4,mb,8,173.9,,0.29,us,usp000evxp,2014-11-07T01:30:37.523Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2006-10-24 14:00:20,2006-10-24 20:30:20,Kachin,Myitkyina,Myitkyina,Yae Nar Pin Lon,village,3.2
22.154,93.046,44.1,4.3,mb,32,81.8,,0.8,us,usp000evhz,2014-11-07T01:30:36.010Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-10-19 17:35:23,2006-10-20 00:05:23,Chin,Mindat,Matupi,Laki,village,3.7
22.635,94.59,117.9,4.3,mb,23,114.5,,0.9,us,usp000ev6x,2014-11-07T01:30:34.092Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-10-14 19:03:41,2006-10-15 01:33:41,Saigang,Yinmarbin,Kani,Nat Bu Sut,village,5.0
21.534,94.3,96.8,4.0,mb,20,117.2,,1.08,us,usp000euxx,2014-11-07T01:30:32.570Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-10-11 07:50:13,2006-10-11 14:20:13,Magway,Gangaw,Tilin,Ah Hnyar War Bin,village,2.5
24.221,94.451,83.5,3.7,mb,15,166.7,,0.65,us,usp000exvr,2014-11-07T01:30:52.197Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-11-16 18:11:18,2006-11-17 00:41:18,Saigang,Tamu,Tamu,,village,6.3
24.694,95.146,120.0,4.8,mb,202,51.0,,0.66,us,usp000ewqd,2014-11-07T01:30:45.767Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-11-06 01:19:57,2006-11-06 07:49:57,Saigang,Hkamti,Homalin,Aik Khwe,village,0.5
22.104,93.351,49.3,5.0,mwc,91,57.9,,0.82,us,usp000ewja,2015-02-11T17:18:25.000Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2006-11-03 14:43:10,2006-11-03 21:13:10,Chin,Mindat,Matupi,Lon Htan Ta Lan,village,1.5
20.021,97.772,39.7,4.3,mb,14,164.2,,1.23,us,usp000f199,2014-11-07T01:31:13.013Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-12-29 20:41:19,2006-12-30 03:11:19,Shan,Langkho,Langkho,Wan Sa Lawng,village,3.5
24.8,98.644,10.0,4.4,mb,32,119.9,,1.07,us,usp000f113,2014-11-07T01:31:11.676Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2006-12-26 12:22:42,2006-12-26 18:52:42,,,,江坪,village,1.6
21.151,93.574,58.4,4.9,mb,148,60.5,,0.65,us,usp000ezj4,2014-11-07T01:31:05.161Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2006-12-05 04:36:29,2006-12-05 11:06:29,Chin,Mindat,Kanpetlet,M'kuiimnu,town,3.3
